id,name,section,country,image
1,ENGLISH POINTER,British and Irish Pointers and Setters,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/001g07.jpg
2,ENGLISH SETTER,British and Irish Pointers and Setters,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/002g07.jpg
3,KERRY BLUE TERRIER,Large and medium sized Terriers,IRELAND,
4,CAIRN TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/004g03.jpg
5,ENGLISH COCKER SPANIEL,Flushing Dogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/005g08.jpg
6,GORDON SETTER,British and Irish Pointers and Setters,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/006g07.jpg
7,AIREDALE TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/007g03.jpg
8,AUSTRALIAN TERRIER,Small sized Terriers,AUSTRALIA,http://www.fci.be/Nomenclature/Illustrations/008g03.jpg
9,BEDLINGTON TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/009g03.jpg
10,BORDER TERRIER,Large and medium sized Terriers,GREAT BRITAIN,
11,BULL TERRIER,Bull type Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/011g03.jpg
12,FOX TERRIER (SMOOTH),Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/012g03.jpg
13,ENGLISH TOY TERRIER (BLACK &TAN),Toy Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/013g03.jpg
14,SWEDISH VALLHUND,Nordic Watchdogs and Herders,SWEDEN,http://www.fci.be/Nomenclature/Illustrations/014g05.jpg
15,BELGIAN SHEPHERD DOG,Sheepdogs,BELGIUM,
16,OLD ENGLISH SHEEPDOG,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/016g01.jpg
17,GRIFFON NIVERNAIS,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/017g06.jpg
18,BRIQUET GRIFFON VENDEEN,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/019g06.jpg
19,ARIEGEOIS,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/020g06.jpg
20,GASCON SAINTONGEOIS,Scent hounds,FRANCE,
21,GREAT GASCONY BLUE,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/022g06.jpg
22,POITEVIN,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/024g06.jpg
23,BILLY,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/025g06.jpg
24,ARTOIS HOUND,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/028g06.jpg
25,PORCELAINE,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/030g06.jpg
26,SMALL BLUE GASCONY BLUE,Scent hounds,FRANCE,
27,BLUE GASCONY GRIFFON,Scent hounds,FRANCE,
28,GRAND BASSET GRIFFON VENDEEN,Scent hounds,FRANCE,
29,NORMAN ARTESIEN BASSET,Scent hounds,FRANCE,
30,BLUE GASCONY BASSET,Scent hounds,FRANCE,
31,BASSET FAUVE DE BRETAGNE,Scent hounds,FRANCE,
32,PORTUGUESE WATER DOG,Water Dogs,PORTUGAL,http://www.fci.be/Nomenclature/Illustrations/037g08.jpg
33,WELSH CORGI CARDIGAN,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/038g01.jpg
34,WELSH CORGI PEMBROKE,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/039g01.jpg
35,IRISH SOFT COATED WHEATEN TERRIER,Large and medium sized Terriers,IRELAND,
36,YUGOSLAVIAN SHEPHERD DOG - SHARPLANINA,Molossian type,MACEDONIA/SERBIA,
37,JÄMTHUND,Nordic Hunting Dogs,SWEDEN,http://www.fci.be/Nomenclature/Illustrations/042g05.jpg
38,BASENJI,Primitive type,CENTRAL AFRICA,
39,BERGER DE BEAUCE,Sheepdogs,FRANCE,
