DogName, Count
BELLA,110
BUDDY,83
MAX,81
SADIE,80
LUCY,74
BAILEY,67
DAISY,64
LUNA,63
CHARLIE,60
MAGGIE,57
MOLLY,56
COOPER,54
GINGER,49
JACK,49
WILLOW,49
ABBY,47
BEAR,46
LILY,45
DUKE,44
KODA,44
ROCKY,44
CHLOE,39
KENAI,39
HARLEY,38
DENALI,37
TOBY,36
JAKE,35
LOKI,35
RUBY,34
ROXY,33
LUCKY,32
PENNY,32
RILEY,32
SHADOW,32
SOPHIE,32
LOLA,31
ROSIE,31
PEPPER,30
COCO,29
GUS,28
LADY,28
BANDIT,26
GRACIE,26
JASPER,26
PIPER,26
STELLA,25
YUKON,25
ZOEY,25
ANNIE,24
BUSTER,24
SAM,24
MARLEY,23
SCOUT,23
BENTLEY,22
DIESEL,22
KONA,22
RUGER,22
THOR,22
ZEUS,22
ATHENA,21
ELLIE,21
FINN,21
LILLY,21
MILO,21
TITAN,21
BLUE,20
DAKOTA,19
KISKA,19
LEO,19
MINNIE,19
MURPHY,19
OSCAR,19
SASHA,19
TUCKER,19
KODIAK,18
LOUIE,18
NALA,18
OLIVER,18
RANGER,18
WINSTON,18
ZOE,18
ANGEL,17
BAXTER,17
EMMA,17
GIZMO,17
HAZEL,17
CHANCE,16
CHEWY,16
HUNTER,16
JACKSON,16
MADDIE,16
OTIS,16
RAVEN,16
TEDDY,16
BO,15
JAX,15
JUNO,15
ROSCOE,15
SUGAR,15
DEXTER,14
DOZER,14
HENRY,14
LUKE,14
MIA,14
MISSY,14
MISTY,14
NOVA,14
OLIVE,14
PEANUT,14
PRINCESS,14
TAZ,14
ASPEN,13
COPPER,13
DIXIE,13
HANK,13
IZZY,13
KATIE,13
LEXI,13
LULU,13
MOOSE,13
OLLIE,13
SANDY,13
SMOKEY,13
STORMY,13
TANK,13
ACE,12
APOLLO,12
AURORA,12
BELLE,12
BOO,12
CODY,12
JOEY,12
KOBUK,12
MAYA,12
MISHKA,12
SAMMY,12
SITKA,12
SPARKY,12
SUNNY,12
BOOMER,11
CHICO,11
FRANKIE,11
HONEY,11
KING,11
OAKLEY,11
ROMEO,11
RUSTY,11
SPIKE,11
TYSON,11
ARCHIE,10
BABY,10
BEAU,10
BRUNO,10
BRUTUS,10
CALLIE,10
CASSIE,10
COCOA,10
DALLAS,10
DESHKA,10
GEORGE,10
GUNNER,10
KOA,10
MAXIMUS,10
MICKEY,10
ODIE,10
OREO,10
PEARL,10
PHOEBE,10
REX,10
RIPLEY,10
RIVER,10
SCOOTER,10
SCRAPPY,10
YUKI,10
ZIGGY,10
BRODY,9
BUBBA,9
CHENA,9
COOKIE,9
DIAMOND,9
HOLLY,9
HOMER,9
HOPE,9
KARMA,9
KINLEY,9
LAYLA,9
MOJO,9
NELLIE,9
OTTO,9
POPPY,9
PORTER,9
REMINGTON,9
REMY,9
ROO,9
RUDY,9
RUFUS,9
RYDER,9
SAMPSON,9
XENA,9
ALLIE,8
ANGUS,8
CALI,8
COSMO,8
CRICKET,8
DAISY MAE,8
DUSTY,8
GIGI,8
ISABELLA,8
IVY,8
JASMINE,8
JOSIE,8
KAI,8
KAISER,8
KIKI,8
KIRA,8
MACY,8
MASON,8
MATTIE,8
MAVERICK,8
MCKINLEY,8
