breed,color,dogName,zip
BICHON FRISE,WHITE,CHLOE,15090
CHIHUAHUA,WHITE/BLACK/BROWN,CHALUPA,15120
LAB MIX,YELLOW,MIA,15133
DACHSHUND,BLACK/BROWN/GREY,CODY,15108
DACHSHUND,BLACK,SOPHIE,15108
TERRIER,SPOTTED,MAX,15228
TERRIER,TAN,SHELBY,15241
TERRIER,TAN,SHELBY,15241
GER SHEPHERD,BLACK/TAN,ARWEN,15218
SCHNOODLE,GREY,RILEY,15202
LABRADOR RETRIEVER,BLACK,LUKE,15014
LABRADOR RETRIEVER,BLACK,LUKE,15014
LABRADOR RETRIEVER,BLACK,LUKE,15014
LABRADOR RETRIEVER,BLACK,LUKE,15014
SHIH TZU,BLACK/BROWN,TELLER,15146
SHIH TZU,WHITE/TAN,JACK,15146
OLD ENG SHEEPDOG,WHITE/GREY,MAX,15129
MALTESE,WHITE,BAILEY,15236
MIXED,WHITE/BLACK,RAKEISHA,15025
CHIHUAHUA MIX,WHITE/TAN,ZEEBA,15025
BOXER MIX,WHITE/BROWN,TYSON,15221
MIXED,BLACK,DAISY,15147
GER SHEPHERD MIX,BRINDLE,LUIGI,15017
AM PIT BULL TERRIER,WHITE/BLACK,TIA,15235
COCKER SPANIEL,BLACK,BUSTER,15024
ENG SPRINGER SPANIE,SPOTTED,MAX,15122
BICHON FRISE,WHITE,BAILEY,15146
BEAGLE,BLACK/BROWN,LOUIE,15239
GOLDEN RETRIEVER,GOLD,TANNER,15101
COCKER SPANIEL MIX,SPOTTED,LEXI,15044
W HGHLND WH TERRIER,WHITE,CHARLIE,15143
GOLDENDOODLE,BLACK,PEPE' LE PU,15238
SHIH TZU,WHITE/BLACK,BELLE,15065
LHASA APSO,WHITE/BROWN,POOKIE,15137
LHASA APSO,WHITE/BROWN,POOKIE,15137
MIXED,BLACK/TAN,VEGAS,15236
DACHSHUND,RED,RUBY,15216
LABRADOR RETRIEVER,BLACK,GRISWALD,15148
PARSON RUSSELL TERR,WHITE/BROWN,SKYLER,15137
SIB HUSKY,WHITE/BLACK,STORM,15122
SHIH TZU,WHITE/TAN,BONNIE,15237
SHIH TZU,WHITE/TAN,BONNIE,15237
SHIH TZU,WHITE/TAN,BONNIE,15237
LHASA APSO,CREAM,MUFFIN,15243
LABRADOR RETRIEVER,YELLOW,BUCK,15101
PARSON RUSSELL TERR,SPOTTED,MITZE,15034
GER SHEPHERD MIX,BLACK/BROWN,KAYLA,15120
BORD COLLIE,WHITE/BLACK,FINNEY,15147
MIXED,BLACK/TAN/WHITE,OTIS,15221
LAB MIX,BLACK,BEAR,15024
LHASA APSO,WHITE/BROWN,BRADY,15065
BOXER MIX,WHITE/BLACK/BROWN,LARS,15229
BORD COLLIE,WHITE/BLACK,LACEY,15146
BRITTANY SPANIEL,WHITE,MACKENZIE,15126
BICHON FRISE,WHITE,LISA,15037
LAB MIX,BLACK,SAMSON,15084
MIXED,BLACK,KODY,15102
BOSTON TERRIER,WHITE/BLACK,TARGET,15237
BOSTON TERRIER,WHITE/BLACK,EDWINA,15237
SHIH TZU,WHITE/YELLOW,WEEGIE,15044
SHIH TZU,WHITE/YELLOW,WEEGIE,15044
DACHSHUND,BROWN,LULA,15239
TERRIER,WHEATON,CASHELL,15101
LABRADOR RETRIEVER,BLACK,ROSEBUD,15071
MIXED,WHITE/BLACK,MOLMARK,15143
MIXED,WHITE/BLACK,MOLMARK,15143
COCKER SPANIEL,WHITE/BLACK/BROWN,MAGGIE,15037
VIZSLA,RED,ALI,15241
LAB MIX,BLACK,MINNIE,15218
MIXED,SPOTTED,TINA,15147
MALTESE,WHITE,BAXTER,15229
BEAGLE,WHITE/BLACK/BROWN,PEBBLES,15234
CHIHUAHUA,WHITE/BROWN,HEIDI,15243
GER SHEPHERD MIX,BLACK,BODIE,15228
MIXED,SABLE,KASI,15084
BEAGLE MIX,WHITE/BLACK,OSCAR,15106
PARSON RUSSELL TERR,SPOTTED,BRADY,15106
LABRADOR RETRIEVER,WHITE,MAGGIE,15108
LABRADOODLE,MULTI,IZZIE,15136
BEAGLE,MULTI,CUTTER,15122
GER SHEPHERD,WHITE,HEMI,15045
GER SHEPHERD MIX,WHITE/BLACK/BROWN,ROXY,15116
LABRADOR RETRIEVER,BLACK,NOOKIE,15209
GOLDEN RETRIEVER,GOLD,SONNY,15209
SHIH TZU,BRINDLE,DUSTY,15137
AIREDALE TERRIER,BLACK/TAN,LUCY,15135
PEKINGESE,RED,TEDDIE,15063
MIXED,BLACK/BROWN,ABBY,15112
PARSON RUSSELL TERR,WHITE,JERRY,15116
MIXED,BLACK/BROWN,DANNY,15120
LHASA APSO,SPOTTED,BRINKLEY,15237
YORKSHIRE TERRIER,BLACK/TAN,GIZMO,15136
MIXED,BROWN,SCOOTER,15136
COCKER SPANIEL MIX,BLACK,LADY,15143
MALTESE,WHITE,CHANCE,15239
MALTESE,WHITE,JULIE,15239
WEIMARANER,SILVER,RUGER,15026
WELSH CORGI PEMBROK,BLACK/TAN/WHITE,PEGGY SUE,15235
CHIHUAHUA,.,ROSIE,15223
COCKER SPANIEL,BLACK,MOLLIE,15102
LABRADOR RETRIEVER,BLACK,DUCHESS,15210
AM ESKIMO DOG,TAN,DYIKE,15209
GER SHEPHERD,SPOTTED,MAX,15071
YORKSHIRE TERRIER,BLACK/BROWN,ANGEL,15235
BOXER,BRINDLE,MAGGIE,15236
WEIMARANER,BLUE,ZOIYA,15235
CHIHUAHUA MIX,TAN,ANNABELLE,15205
LAB MIX,SPOTTED,PIPPIN,15090
COCKAPOO,CREAM,SNICKERS,15065
LABRADOR RETRIEVER,YELLOW,JADE,15220
LABRADOR RETRIEVER,BLACK,JORDAN,15146
BASSET HOUND,MULTI,HAMMER,15071
GER SHEPHERD,BLACK/TAN,LUKE,15237
LHASA APSO MIX,BLONDE,BAILEY,15044
MIXED,BLACK/BROWN,ZENA,15147
AKITA,WHITE/BROWN,AMATSUMIKOTO,15215
MIXED,WHITE/BLACK,TRIXIE,15227
LABRADOR RETRIEVER,YELLOW,BRIDGER,15238
MIXED,WHITE/BROWN,SHY,15216
BOXER,BROWN,OTIS,15133
MIXED,BLACK,BLACK TOP,15147
MIXED,WHITE,SOPHIE,15122
BORD COLLIE MIX,WHITE/BLACK,NIKKI,15147
BORD COLLIE MIX,WHITE/BLACK,NIKKI,15147
LAB MIX,BLACK,CJ,15137
BOSTON TERRIER,BRINDLE,HANNAH,15104
BOSTON TERRIER,BRINDLE,HANNAH,15104
GER SHEPHERD,BLACK/TAN,SASSY,15024
BEAGLE,MULTI,JACK,15209
LAB MIX,BRINDLE,SYDNEY,15143
MIXED,BROWN,SNICKERS,15147
SHIH TZU MIX,BEIGE,GINGER,15146
GREYHOUND,RED,BEAU,15234
WELSH CORGI CARDIGA,WHITE/BROWN,MONTY,15146
GOLDEN RETRIEVER,GOLD,JORDI,15238
TERRIER,BLACK,GYPSY,15236
MIXED,BROWN,GYPSY,15037
HOUND MIX,BROWN,BUSTER,15235
ENG COCKER SPANIEL,BLACK,APRIL VIOLET,15129
POODLE MIN,SILVER,SILVER KAMEO,15229
FOX TERRIER WIRE,WHITE/BROWN,GROMMET,15133
SIB HUSKY,WHITE/BLACK/BROWN,REMI,15017
MIXED,WHITE/BLACK/BROWN,EL,15135
GOLDENDOODLE,BEIGE,CHARLIE,15236
DOBERMAN PINSCHER,RED,WINSTON,15057
BEAGLE,MULTI,JACK,15057
BEAGLE,BLACK/BROWN,MAGGIE,15057
GER SHEPHERD,BLACK/RED,LAYLA,15132
GER SHEPHERD,BLACK/TAN,TANNAR,15120
WEIMARANER,GREY,TRALEE,15126
ENG SPRINGER SPANIE,WHITE/BROWN,MOOT,15238
DACHSHUND,BLACK/TAN,KATIE,15332
GER SHEPHERD MIX,BROWN,HANNAH,15143
MIXED,BLACK,BARON,15143
TREE WALK COONHOUND,WHITE/BLACK/BROWN,FRED,15239
LABRADOR RETRIEVER,BLACK,LIBBY,15108
RETRIEVER MIX,WHITE/YELLOW,PEPSI,15071
LABRADOR RETRIEVER,BLACK,MACIE,15106
YORKSHIRE TERRIER,WHITE/BLACK,KENO,15137
SHETLAND SHEEPDOG,BLACK/TAN/WHITE,ROCKY,15229
MIXED,BLACK,GIGI,15102
MIXED,WHITE,BAILEY,15227
COCKAPOO,CREAM,PRINCESS,15227
SHIBA INU,RED,TITO,15116
MALTESE,WHITE,SADIE,15227
COLLIE MIX,TAN,MANDY,15144
MALTESE,WHITE,STEWART,15102
MIXED,WHITE/BLACK/BROWN,MALCOLM,15218
W HGHLND WH TERRIER,WHITE,ROBBIE,15102
GER SHEPHERD,BLACK/FAWN,RICO,15122
MIXED,BLACK,ACE,15221
AM ESKIMO DOG,WHITE,FROSTY,15037
MIXED,BROWN,LUCY,15014
MIXED,WHITE,FLUFFY,15237
SHIH TZU,BUFF,BAILEY,15056
POODLE MIN,APRICOT,BUDDY,15221
MIXED,BROWN,PUCK,15108
PARSON RUSSELL TERR,WHITE/BLACK/BROWN,PEBBLES,15216
PARSON RUSSELL TERR,WHITE/BLACK/BROWN,PEBBLES,15216
MALTESE,WHITE,BUTTONS,15049
DOBERMAN MIX,BLACK/BROWN,JUSTICE,15234
FRENCH BULLDOG,CREAM,MOU ROE,15142
FRENCH BULLDOG,CREAM,MOU ROE,15142
SHETLAND SHEEP MIX,WHITE/BROWN,SUMMER RAIN,15243
GER SHEPHERD,BLACK/BROWN,SMOKY,15239
GER SHEPHERD,BLACK/BROWN,HANNAH,15237
POODLE MIX,BROWN,BUDDY BEAR,15034
YORKSHIRE TERRIER,BLACK/BROWN,GRACIE,15237
MIXED,BLACK,MAY I,15101
PUG,BLACK/FAWN,MALING,15131
BICHON FRISE,WHITE,MISTY,15241
POMERANIAN,WHITE/APRICOT,KOALA,15044
BICHON FRISE,WHITE,BRIDGET,15234
SCHNAUZER MIN,GREY,BAXTER,15236
